,trope,length,Romance,Comedy,Action,Adventure,Horror,Thriller,Crime,Drama,History,Mystery,War,Science Fiction,TV Movie,Fantasy,Music,Family,Documentary,Western,Animation
7628,RiddleMeThis,8,0,3,5,4,0,1,1,0,0,0,0,2,0,4,0,0,0,0,0
7629,RightfulQueenReturns,12,0,2,6,7,0,3,0,3,0,0,0,4,1,6,1,2,0,0,0
7630,RingOut,5,0,0,5,1,0,2,0,2,1,0,0,1,0,0,0,1,0,0,0
7631,RuleOfPerception,24,1,5,15,11,3,8,0,6,0,0,0,13,0,4,0,3,0,2,1
7632,SavagePiercings,6,0,0,5,5,0,1,0,2,1,0,0,2,0,2,0,0,0,0,0
7633,SaveTheVillain,77,3,14,50,37,9,18,21,15,4,8,4,24,4,12,0,4,2,2,1
7634,SavedFromDevelopmentHell,172,15,39,78,75,19,45,24,52,5,11,4,56,1,29,4,17,3,4,3
7635,ScienceIsGood,7,0,1,3,3,1,0,0,1,0,0,0,6,0,1,0,0,0,0,0
7636,SecondSuperIdentity,4,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
7637,SeparatedAtBirthCasting,51,8,15,24,26,1,5,4,19,1,1,1,13,0,14,1,5,0,0,0
7638,ShadowArchetype,74,6,14,41,34,9,16,9,25,3,1,4,25,1,13,0,7,1,1,0
7639,SharedUniverse,116,10,35,52,43,26,22,10,20,0,4,2,44,0,15,3,6,1,3,1
7640,ShortLivedLeadership,6,0,0,4,5,0,0,1,2,0,0,0,3,0,1,0,0,0,0,0
7641,SinisterScimitar,13,2,1,10,10,1,1,0,5,2,0,1,2,0,4,0,2,0,0,1
7642,SinisterScythe,36,0,6,8,2,28,10,1,6,0,2,0,2,2,3,0,0,0,1,0
7643,SinsOfOurFathers,46,3,9,14,12,13,12,4,13,3,4,1,7,2,9,1,6,0,0,0
7644,SinsOfTheFather,26,2,8,7,7,7,4,3,5,4,1,1,4,2,6,0,5,1,0,0
7645,SkilledAndStrong,14,1,0,10,10,1,3,0,2,0,0,0,7,0,4,0,0,0,0,0
7646,SmashToBlack,37,2,9,12,9,9,15,6,12,0,9,1,11,0,5,0,2,0,0,0
7647,SolarPunk,5,0,0,2,2,1,3,0,2,0,0,0,4,0,1,0,0,0,0,0
7648,Solarpunk,3,0,0,1,2,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0
7649,SomethingCompletelyDifferent,25,1,8,10,10,3,6,1,5,1,1,0,7,0,7,3,2,3,0,1
7650,SonicStunner,7,0,0,7,6,0,2,0,0,0,0,0,6,0,1,0,0,0,0,0
7651,SpandexLatexOrLeather,27,0,3,23,22,0,2,2,1,0,1,0,21,0,4,0,1,0,0,0
7652,SpiritAdvisor,56,11,14,19,10,10,14,9,21,2,6,3,19,2,11,4,1,1,0,1
7653,SpiritWorld,6,1,0,1,1,1,0,0,2,0,0,0,3,0,3,0,1,0,0,1
7654,SpiritualAntithesis,68,6,17,19,19,13,12,5,24,8,6,4,21,1,8,2,7,2,4,3
7655,SpoiledByTheMerchandise,22,2,5,17,18,0,1,1,2,0,0,0,13,0,6,0,2,0,0,0
7656,StaticStunGun,11,0,2,6,5,1,5,4,3,0,1,1,6,0,0,0,1,0,0,0
7657,StrangeSalute,24,1,13,10,13,0,3,0,9,0,0,2,12,1,3,1,5,0,1,0
7658,StrawDystopia,7,0,1,4,4,0,2,0,3,0,0,0,5,0,1,0,0,0,1,0
7659,StrawUtopia,7,0,1,4,4,0,2,0,3,0,0,0,5,0,1,0,0,0,1,0
7660,StrongAndSkilled,17,2,1,13,12,1,4,0,3,0,0,0,7,0,5,0,0,0,0,0
7661,StrongFamilyResemblance,43,7,18,12,12,5,4,4,17,1,0,2,7,0,12,1,6,0,0,0
7662,SuccessionCrisis,25,8,5,8,10,0,5,1,12,7,0,0,3,2,7,0,4,2,0,0
7663,Suetopia,7,0,1,4,4,0,2,0,3,0,0,0,5,0,1,0,0,0,1,0
7664,SufficientlyAdvancedBambooTechnology,5,0,0,4,4,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0
7665,SuperWristGadget,16,0,4,12,11,2,7,1,2,0,3,0,12,0,1,0,3,0,1,0
7666,SuperheroMovieVillainsDie,69,2,7,62,50,4,6,7,4,0,1,0,43,0,16,0,6,1,0,3
7667,SupernaturalIsPurple,8,0,2,3,3,2,1,0,1,0,2,0,4,0,4,0,2,0,0,0
7668,SurprisinglyGoodEnglish,35,5,9,14,9,2,7,4,19,3,2,5,5,0,5,0,6,0,2,0
7669,SuspiciouslySmallArmy,14,1,0,11,10,0,2,1,5,2,0,3,7,0,0,0,0,0,0,0
7670,SwordPointing,10,1,2,7,7,0,2,1,1,1,0,1,5,0,2,0,1,1,0,0
7671,SympathyForTheDevil,61,3,8,17,15,14,16,12,27,4,4,4,19,1,8,0,6,0,1,0
7672,TaintedVeins,28,1,4,17,11,12,6,0,6,0,2,1,11,0,5,1,1,1,0,1
7673,TakeOvertheWorld,19,1,6,10,10,4,4,2,1,1,1,2,12,0,2,0,2,0,0,2
7674,TakesOneToKillOne,21,1,2,16,14,4,2,1,3,0,0,0,12,0,3,0,0,0,0,0
7675,TakingOverTheWorld,19,1,6,10,10,4,4,2,1,1,1,2,12,0,2,0,2,0,0,2
7676,TakingTheBullet,109,7,29,60,37,10,26,20,34,5,8,6,20,3,16,1,9,0,7,2
7677,TattooAsCharacterType,26,2,5,13,11,3,6,5,5,1,2,2,8,0,4,0,1,1,1,0
7678,TeenGenius,43,5,17,10,11,3,7,4,21,1,4,0,19,3,2,4,7,2,0,0
7679,ThatsAnOrder,23,0,0,14,8,1,7,1,7,2,0,6,10,0,1,0,0,1,1,1
7680,TheAntiNihilist,24,6,11,4,5,0,3,3,16,1,1,0,5,0,6,0,0,0,0,0
7681,TheAntinihilist,16,6,8,4,5,0,1,1,8,0,0,0,5,0,5,0,0,0,0,0
7682,TheArmorer,8,0,1,6,6,0,2,0,1,0,0,0,4,0,1,0,1,1,0,0
7683,TheEvilPrince,22,6,5,12,16,0,0,1,6,3,0,0,1,2,11,0,4,0,0,0
7684,TheEvilPrincess,12,2,3,8,9,0,0,1,3,1,0,0,1,0,9,0,2,0,0,0
7685,TheExistentialist,16,6,8,4,5,0,1,1,8,0,0,0,5,0,5,0,0,0,0,0
7686,TheFinalBattle,61,2,3,56,42,0,11,5,6,0,1,0,29,0,13,0,0,0,2,0
7687,TheFriendNoOneLikes,27,3,10,12,12,4,4,4,7,1,3,0,8,0,2,0,0,0,0,0
7688,TheFriendNobodyLIkes,25,2,9,12,12,4,4,4,5,0,3,0,8,0,2,0,0,0,0,0
7689,TheGoodKing,18,2,3,10,12,0,1,0,8,3,0,1,5,1,9,0,2,0,0,1
7690,TheHypocrite,2,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7691,TheMerch,27,1,7,14,12,7,6,1,2,1,1,0,18,0,6,0,1,0,0,1
7692,ThePhilosopherKing,4,0,0,2,3,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0
7693,TheSavior,31,0,2,20,16,1,9,1,12,1,2,0,23,0,4,0,0,0,1,1
7694,TheSvengali,12,1,2,2,2,0,2,4,8,2,1,0,2,1,0,3,0,0,0,0
7695,TheUmbridge,17,1,9,4,5,2,2,2,6,0,1,2,4,0,3,0,5,0,0,1
7696,TheUnMasquedWorld,23,1,3,19,16,2,1,0,1,0,0,0,17,0,6,0,0,0,0,0
7697,TheUnmaskedWorld,23,1,3,19,16,2,1,0,1,0,0,0,17,0,6,0,0,0,0,0
7698,TheUnmasquedWorld,29,1,4,24,19,2,3,0,2,0,0,0,21,0,9,0,0,0,0,0
7699,ThemeMusicAbandonment,43,0,3,36,32,6,6,1,2,0,1,0,25,0,8,1,0,1,3,0
7700,TimeshiftedActor,41,5,11,8,11,2,5,4,22,1,0,0,7,0,11,1,7,1,1,1
7701,ToBeLawfulOrGood,38,5,4,18,16,0,13,4,17,6,3,2,8,0,5,0,1,0,3,0
7702,TokenRomance,97,6,12,57,46,10,36,9,30,4,10,4,26,1,11,4,6,1,4,1
7703,TokenWhite,39,5,18,15,9,2,6,11,13,1,0,0,6,1,4,1,6,1,1,1
7704,TomTheDarkLord,30,1,11,13,11,7,2,1,2,0,3,0,11,0,6,0,4,0,1,1
7705,TooCoolToLive,41,0,7,30,23,9,9,4,5,1,0,1,25,0,4,0,1,0,1,1
7706,TotemPoleTrench,20,2,14,2,9,2,0,2,2,0,0,0,4,0,9,2,9,0,0,2
7707,TotempoleTrench,19,2,13,2,9,1,0,2,2,0,0,0,4,0,8,2,9,0,0,2
7708,Touche,17,3,6,8,8,1,4,1,4,2,1,0,5,0,0,4,2,0,0,0
7709,ToylessToylineCharacter,27,0,4,24,26,1,2,0,0,0,0,0,20,0,7,0,3,0,0,1
7710,TrialByCombat,7,1,3,3,5,0,0,0,2,2,0,1,3,0,1,0,1,0,0,0
7711,Tritagonist,54,2,9,34,26,3,6,8,16,1,0,0,24,0,8,1,4,0,2,3
7712,Troll,120,15,48,33,27,20,21,12,34,6,10,2,30,0,15,2,5,5,2,2
7713,TyrantTakesTheHelm,45,5,19,13,13,2,5,4,18,6,1,7,10,0,6,1,9,1,0,1
7714,TyrantTakesThehelm,17,1,9,4,5,2,2,2,6,0,1,2,4,0,3,0,5,0,0,1
7715,TyrantTakestheHelm,17,1,9,4,5,2,2,2,6,0,1,2,4,0,3,0,5,0,0,1
7716,UnMasquedWorld,23,1,3,19,16,2,1,0,1,0,0,0,17,0,6,0,0,0,0,0
7717,UnObtainium,14,0,4,8,10,1,2,0,0,0,0,0,14,0,0,0,1,0,0,0
7718,UnObtanium,14,0,4,8,10,1,2,0,0,0,0,0,14,0,0,0,1,0,0,0
7719,UnflinchingFaithInTheBrakes,14,0,1,10,6,2,7,4,1,0,2,0,3,0,3,0,0,0,0,0
7720,UnfortunateImplications,34,3,22,8,9,5,4,4,9,1,3,1,3,0,5,3,4,1,1,1
7721,UnknownRival,54,7,12,25,21,3,11,6,18,4,0,1,14,3,7,5,7,1,0,1
7722,UnmasquedWorld,25,1,4,20,17,2,1,0,1,0,0,0,17,0,8,0,0,0,0,0
7723,Unobtainium,23,2,6,11,14,3,3,0,2,0,1,1,21,0,1,0,1,0,0,0
7724,Unobtanium,20,0,4,12,14,1,3,1,1,0,0,0,15,0,2,0,1,0,0,0
7725,VillainHasApoint,51,2,9,29,26,2,14,9,10,0,3,0,17,1,11,0,5,2,0,0
7726,VillainOfAnotherStory,25,1,3,12,7,10,13,4,6,1,3,1,5,1,2,0,1,1,1,0
7727,VillainousUnderdog,14,1,0,11,10,0,3,0,4,0,0,0,10,0,1,0,0,0,0,0
7728,VisionQuest,13,0,3,2,4,0,0,0,7,2,0,0,1,2,2,2,1,0,1,0
7729,VisionaryVillain,27,1,3,20,17,1,8,5,4,0,2,0,15,0,3,0,0,1,2,1
7730,WTHCostumingDepartment,55,3,6,35,40,3,9,5,6,0,2,0,31,0,18,1,4,0,2,0
7731,WallRun,6,0,2,4,4,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
7732,WarriorPrince,28,2,2,17,18,1,0,0,8,3,0,5,7,1,11,1,2,2,0,1
7733,WarriorPrincess,15,2,1,11,11,1,1,0,2,1,0,2,7,0,7,0,0,0,0,0
7734,WatchingTheSunset,22,1,4,13,14,0,3,2,6,0,1,0,10,0,2,0,2,1,1,0
7735,WeAreStillRelevantDammit,40,1,17,11,14,9,4,2,8,0,3,1,9,2,14,3,14,0,0,4
7736,WeAreStrugglingTogether,55,3,5,23,17,3,9,4,28,17,2,17,11,2,3,1,2,3,2,0
7737,WeCouldHaveAvoidedAllThis,24,4,9,5,6,3,5,4,7,2,3,0,3,0,2,0,2,0,2,0
7738,WeHaveReserves,82,5,7,53,37,8,14,4,33,16,2,18,21,1,16,0,3,0,3,1
7739,WeWillHavePerfectHealthInTheFuture,8,1,2,2,3,2,2,0,3,0,1,1,7,0,0,0,1,0,0,0
7740,WeaponisedExhaust,23,0,1,20,16,2,6,1,0,0,1,1,18,0,1,0,1,0,0,0
7741,WereStilLRelevantDammit,40,1,17,11,14,9,4,2,8,0,3,1,9,2,14,3,14,0,0,4
7742,WereStillRelevantDammit,44,1,19,11,14,9,4,2,10,0,3,1,9,2,14,5,15,0,0,4
7743,WeusedToBeFriends,24,3,3,18,17,0,5,0,6,1,1,0,11,0,3,0,3,0,0,0
7744,WhatTheHellCostumingDepartment,55,3,8,33,39,3,8,5,6,0,2,0,30,0,18,1,4,0,2,0
7745,WhiteDudeBlackDude,3,2,2,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
7746,WillReturnCaption,22,0,4,19,16,1,7,2,1,0,0,0,12,0,3,0,1,0,0,0
7747,WordOFGod,24,1,6,12,12,3,4,2,5,0,1,1,14,0,5,0,2,0,0,2
7748,WordOfGOd,24,1,6,12,12,3,4,2,5,0,1,1,14,0,5,0,2,0,0,2
7749,WordofGod,33,3,8,14,14,7,7,3,6,0,1,1,15,0,8,0,3,0,0,2
7750,WorldDomination,19,1,6,10,10,4,4,2,1,1,1,2,12,0,2,0,2,0,0,2
7751,WorldsSmartestMan,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7752,WorldsSmartestWoman,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7753,YellowPurpleContrast,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7754,YouHaveOutLivedYourUsefulness,77,3,14,52,33,8,30,15,14,0,7,0,21,1,12,1,5,1,2,1
7755,YouHaveOutlivedYourUsefulNess,75,3,14,51,32,8,29,14,13,0,7,0,20,1,12,1,5,1,2,1
7756,YouHaveOutlivedYourusefulness,75,3,14,51,32,8,29,14,13,0,7,0,20,1,12,1,5,1,2,1
7757,YouHaveOutlivedyourUsefulness,75,3,14,51,32,8,29,14,13,0,7,0,20,1,12,1,5,1,2,1
7758,YouWillBeSpared,30,1,6,12,10,7,6,3,7,3,1,3,11,0,6,0,5,0,1,1
7759,YouhaveOutlivedYourUsefulness,75,3,14,51,32,8,29,14,13,0,7,0,20,1,12,1,5,1,2,1
7760,ZigZagged,105,11,30,43,28,16,28,20,41,4,10,6,24,0,16,3,7,0,2,2
7761,ArmorIsUseless,80,3,4,59,40,7,21,8,24,9,0,15,27,0,15,0,3,2,2,2
7762,BadassBookworm,119,11,23,50,36,17,33,22,49,12,8,11,25,2,12,1,1,1,1,1
7763,ChronicHeroSyndrome,35,1,5,18,12,6,10,5,9,1,1,2,13,0,5,0,3,0,0,0
7764,ComplainingAboutRescuesTheyDontLike,36,5,12,16,17,4,4,4,4,0,2,1,12,0,9,0,3,0,2,1
7765,Enforced,14,2,3,5,8,2,4,1,3,0,0,1,4,0,4,0,0,0,0,1
7766,Enforcedtrope,8,1,1,3,6,1,1,1,2,0,0,1,1,0,3,0,0,0,0,1
7767,FeudalOverlord,5,1,0,3,2,0,2,1,1,0,0,0,1,0,2,0,0,0,0,1
7768,HeroComplex,9,1,0,5,4,0,2,1,2,0,0,1,3,0,0,0,0,0,0,0
7769,HighMiddleAges,9,2,1,5,2,0,0,0,5,6,0,5,0,0,2,0,0,0,0,1
7770,IOwnThisTown,40,3,8,18,8,2,10,11,12,1,2,1,3,2,2,1,2,1,9,0
7771,Jailbait,10,4,3,0,1,1,1,0,6,0,1,0,0,2,1,0,0,0,0,0
7772,KingOnHisDeathbed,14,5,3,4,9,0,0,0,5,4,0,2,1,1,5,1,5,1,0,2
7773,KingPinInHisGym,18,1,2,14,10,1,10,2,3,0,0,0,0,0,1,1,0,1,0,0
7774,KingpinInHisGym,28,1,3,21,12,1,14,6,5,0,0,0,1,0,1,2,1,1,0,0
7775,LoveHurts,52,32,21,5,7,3,6,5,31,2,0,2,2,0,6,1,0,0,1,1
7776,LovedINotHonorMore,8,2,0,4,4,0,1,0,4,3,0,1,2,0,0,0,0,0,0,0
7777,MenOfSherwood,25,5,3,17,18,0,8,2,3,1,0,1,2,0,2,2,1,1,0,1
7778,MurderSuicide,47,7,2,10,5,11,23,11,26,0,9,1,6,1,3,0,0,0,0,0
7779,RetiredOutlaw,23,3,4,10,5,1,1,7,7,1,0,0,0,1,0,0,0,1,12,0
7780,RobinHood,21,2,7,13,15,0,6,2,4,2,0,0,1,0,5,1,0,0,0,0
7781,RomanticRunnerUp,40,29,19,6,5,4,2,2,19,1,2,1,3,0,4,4,1,0,0,0
7782,Swashbuckler,44,17,12,20,37,0,2,0,12,8,0,0,0,2,5,1,3,0,1,0
7783,TakingTheVeil,19,7,3,3,2,1,0,0,14,3,0,2,1,0,1,1,1,0,0,0
7784,VowOfCelibacy,22,8,8,7,9,3,4,2,7,3,1,0,3,0,5,1,1,1,0,0
7785, ATasteOfTheLash,60,15,6,14,17,7,4,5,31,9,4,2,3,0,6,1,2,0,5,1
7786,CobwebsOfDisuse,7,1,2,1,2,3,0,1,0,0,0,0,2,0,3,0,1,0,0,2
7787,CrustyCaretaker,39,1,8,1,0,31,13,4,8,1,13,0,4,0,2,0,1,1,0,0
7788,EatenAlive,75,1,15,28,25,43,20,3,11,0,5,2,26,2,16,1,4,1,0,1
7789,FetusTerrible,26,0,3,5,3,22,10,0,4,0,4,0,10,0,2,0,1,1,0,0
7790,MessyPig,10,3,4,0,3,2,1,1,5,0,0,0,1,0,2,1,3,0,0,0
7791,MilitarySchool,13,1,7,0,1,2,1,1,6,0,0,1,2,1,1,0,2,0,0,0
7792,OminousLatinChanting,96,3,14,33,24,26,29,12,31,12,13,9,17,1,13,1,5,3,0,0
7793,PowerFloats,17,0,5,5,2,8,2,0,5,0,3,0,5,0,8,1,4,0,0,0
7794,SadlyMythtaken,59,6,14,31,33,14,5,2,8,3,1,2,7,1,23,0,10,1,2,3
7795,WithGreatPowerComesGreatInsanity,28,0,4,8,7,10,6,1,4,2,5,1,17,0,4,0,1,0,0,1
7796, AGlassInTheHand,21,5,10,8,8,2,2,4,4,1,0,0,4,0,3,0,3,0,0,0
7797,BringingRunningShoesToACarChase,17,1,5,10,8,0,3,1,2,0,1,0,7,0,0,0,0,0,0,0
7798,DownInTheDumps,20,1,4,6,6,4,7,2,6,0,3,0,4,0,1,1,2,0,0,0
7799,KidsDrivingCars,16,1,9,4,6,0,2,3,4,0,0,0,2,0,3,0,6,0,0,0
7800,LivesInAVan,4,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0
7801,VoiceoverLetter,75,16,22,3,7,10,4,11,47,9,3,4,7,4,7,3,1,3,0,0
7802, AbsurdlyYouthfulMother,14,2,2,7,5,3,2,0,4,0,1,0,4,1,2,1,1,0,0,0
7803,AgonizingStomachWound,20,1,2,9,5,1,7,6,5,0,0,1,1,1,1,0,0,0,0,0
7804,BeneathTheMask,47,9,16,10,12,8,7,5,17,1,7,1,9,0,10,1,3,0,0,0
7805,BikerBabe,57,6,17,35,22,3,22,5,10,1,2,0,14,0,2,2,3,1,0,0
7806,ByTheHair,24,1,9,9,3,6,4,2,7,1,3,1,4,1,4,0,1,0,0,0
7807,DragonLady,43,8,12,23,14,8,11,6,9,0,2,0,6,0,8,1,2,0,1,0
7808,HasTwoMommies,36,10,26,4,5,2,2,3,15,1,0,1,2,0,3,1,3,1,0,0
7809,JumpingOffTheSlipperySlope,72,5,15,25,14,19,22,17,32,2,3,3,18,0,6,0,0,1,0,0
7810,LawOfInverseRecoil,38,0,15,29,14,2,14,12,5,0,0,1,7,0,5,0,1,0,1,0
7811,ManipulativeBitch,53,12,21,5,6,6,16,9,27,1,10,0,1,1,4,2,4,0,0,1
7812,NotGoodWithRejection,37,10,10,8,7,4,6,4,12,1,2,0,6,3,5,3,4,1,1,2
7813,PsychoEx,6,2,4,3,2,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0
7814,RightOnTheTick,15,2,7,4,3,1,5,3,4,0,0,2,2,0,1,0,2,0,1,0
7815,StrugglingSingleMother,24,2,9,4,5,4,5,4,12,0,3,0,0,0,4,0,3,1,0,1
7816,TomboyWithAGirlyStreak,44,17,25,10,8,3,3,0,19,0,1,1,4,1,4,2,8,0,1,1
7817,TrainingAccident,9,0,1,7,5,0,2,0,2,0,1,1,3,0,0,0,0,0,0,0
7818,WireDilemma,40,0,13,30,15,0,19,8,4,0,1,1,10,1,0,0,2,0,1,0
7819, AbnormalLimbRotationRange,10,0,2,2,4,6,4,0,1,0,3,0,1,0,3,0,3,0,0,0
7820,AcousticLicense,25,1,7,12,8,5,4,2,7,1,2,3,7,0,4,0,1,0,1,0
7821,AdrenalineTime,24,0,5,22,14,1,7,5,3,0,1,1,7,0,6,0,1,0,1,0
7822,AllYourBase,47,0,3,42,28,3,11,6,4,2,2,1,25,0,5,1,2,2,0,0
7823,AllYourBaseAreBelongToUs,86,2,12,64,44,10,21,13,13,4,3,4,41,1,8,1,3,2,2,0
7824,ArtificialZombie,17,0,3,8,2,12,6,0,1,0,2,0,11,0,1,0,1,0,0,0
7825,BandOfBrothels,20,4,5,13,2,1,6,4,7,0,0,0,2,0,1,1,0,0,0,0
7826,BarelyMissedCushion,5,0,3,2,2,1,1,0,1,0,1,0,3,0,0,0,0,0,0,0
7827,BatterUp,139,1,43,42,12,53,59,31,39,2,9,4,18,2,5,4,7,2,1,0
7828,BorrowedBiometricBypass,48,1,8,35,17,6,20,5,6,0,2,0,26,0,3,0,0,0,0,0
7829,BossArenaIdiocy,6,0,0,2,5,2,1,0,0,0,1,0,2,0,2,1,1,0,0,0
7830,CelebrityVoiceActor,32,4,10,15,16,3,4,2,8,0,2,1,14,0,6,0,8,1,1,2
7831,CoolSidecar,11,1,4,8,5,0,3,2,1,0,0,1,3,0,0,0,1,0,0,1
7832,CrashingThroughTheHarem,17,0,8,9,10,0,2,3,2,0,0,0,2,0,4,2,2,0,1,1
7833,CrossPromotion,15,1,3,12,11,0,0,1,2,0,0,0,8,0,4,1,3,0,0,1
7834,CyBorg,13,0,1,11,5,4,5,0,1,0,0,0,12,0,1,0,0,0,0,0
7835,DancingBear,51,4,16,14,12,14,13,9,15,2,8,1,10,1,6,3,2,0,1,0
7836,DareToBeBadass,85,4,22,51,37,5,19,9,26,10,0,10,25,0,6,0,5,1,2,1
7837,DeadlyRotaryFan,22,0,4,13,7,11,5,1,1,0,1,0,3,1,5,0,1,0,1,0
7838,DeathByCameo,109,4,30,60,29,31,33,23,25,5,6,8,28,1,12,0,2,0,5,2
7839,DeathByLookingUp,34,4,13,18,14,8,11,3,5,0,1,0,10,0,8,0,2,0,0,0
7840,Dualvertisement,14,1,2,12,11,0,0,1,2,0,0,0,8,0,4,1,2,0,0,1
7841,EndCredits,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7842,EntitledBitch,11,1,1,4,5,1,1,1,3,1,1,0,5,0,2,0,0,0,0,0
7843,EscapeRouteSurprise,8,0,1,6,5,0,1,2,1,0,1,0,5,0,1,0,0,0,0,1
7844,EscapistCharacter,17,0,6,12,7,0,5,2,2,0,1,0,8,0,3,0,0,0,0,0
7845,EscortMission,17,0,3,13,8,1,6,1,6,2,0,2,5,2,2,0,0,0,2,0
7846,Escortmission,6,0,0,6,4,0,1,0,2,0,0,1,3,1,0,0,0,0,1,0
7847,ExpendableClone,16,1,1,11,10,2,7,1,2,0,3,0,12,0,3,0,0,0,0,0
7848,FaceHeelDoorSlam,25,1,4,11,10,4,6,4,9,2,1,2,7,0,4,0,0,1,0,0
7849,FacelessMooks,39,0,4,27,18,3,9,3,9,3,1,5,20,0,4,1,2,1,0,0
7850,FakeMemories,27,1,1,11,10,3,9,0,8,1,4,0,14,0,4,0,2,1,0,0
7851,FeaturelessProtagonist,2,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
7852,FirstPerson,3,1,0,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
7853,FunWithSubtitles,73,10,49,21,15,3,6,11,23,2,1,4,10,1,7,6,6,3,1,2
7854,GagPenis,90,12,62,23,7,16,10,16,17,2,3,1,15,1,6,3,2,1,2,2
7855,GeniusCripple,29,1,6,15,12,5,6,3,9,1,3,2,15,1,2,0,1,1,2,0
7856,GimmickAttractsAnAudience,49,4,15,14,12,13,13,9,14,2,8,1,10,1,6,2,2,0,1,0
7857,GivingThemtheStrip,36,0,4,18,16,11,14,1,7,1,2,0,16,0,4,0,4,0,1,2
7858,GlassCannon,49,3,9,33,26,6,8,3,10,3,2,3,26,0,16,0,8,1,0,1
7859,GoGoEnslavement,52,3,11,26,31,8,13,8,8,0,3,0,16,0,12,0,2,0,2,0
7860,GoneSwimmingClothesStolen,34,12,15,5,4,3,3,3,16,2,1,3,3,0,3,0,4,0,2,0
7861,GoodGunsBadGuns,48,2,4,38,18,4,17,10,12,1,1,5,21,0,3,2,1,2,2,0
7862,GuestFighter,18,0,2,10,7,3,4,3,3,0,1,0,7,0,3,0,1,0,0,0
7863,HatDamage,26,1,8,15,14,0,2,3,9,0,3,2,1,1,3,1,1,0,11,0
7864,HelicopterBlender,38,0,5,33,19,5,17,4,1,0,1,1,12,2,6,0,3,0,0,1
7865,HeroicMime,2,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
7866,HeroicResolve,31,2,9,20,17,2,8,4,5,1,3,1,15,0,9,1,3,1,2,1
7867,HollywoodCyborg,21,0,3,19,7,5,10,3,2,0,0,1,18,0,1,0,0,0,0,1
7868,HotScientist,87,4,21,43,34,25,24,4,12,1,5,1,52,1,11,1,8,1,0,2
7869,HumansArePsychicInTheFuture,12,0,0,8,7,0,4,0,1,0,1,0,11,0,0,1,0,1,0,0
7870,IAmVeryBritish,51,13,18,20,21,3,9,3,20,2,0,5,11,1,6,2,5,2,2,0
7871,IdentityAmnesia,37,6,13,14,10,5,10,6,12,0,8,0,10,0,7,0,5,0,0,0
7872,InsertGrenadeHere,15,0,0,12,8,0,6,0,6,2,0,5,7,0,0,0,0,0,0,0
7873,KatanasAreBetter,21,1,3,17,8,3,8,3,4,1,0,1,7,0,3,0,1,0,1,0
7874,KatanasareJustBetter,20,1,3,16,8,3,7,3,3,1,0,1,7,0,3,0,1,0,1,0
7875,Katanasarebetter,20,1,3,16,8,3,7,3,3,1,0,1,7,0,3,0,1,0,1,0
7876,LongRangeFighter,5,0,0,5,5,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0
7877,MissionControl,71,1,11,47,32,4,22,11,13,6,4,2,38,1,3,0,2,1,0,0
7878,MotherRussiaMakesYouStrong,28,2,5,22,13,1,9,4,8,2,2,3,7,1,1,2,0,0,0,0
7879,NippleAndDimed,69,14,27,19,14,12,9,9,26,4,2,3,10,1,13,1,3,1,0,2
7880,NoBodyLeftBehind,51,2,7,25,24,12,6,0,6,1,3,0,23,0,16,2,7,1,0,1
7881,NotDistractedByTheSexy,60,8,32,16,11,13,14,8,16,0,4,1,11,2,5,2,3,0,0,0
7882,OutsideGenreFoe,26,0,5,17,10,8,13,7,3,1,0,0,11,1,0,0,0,0,2,0
7883,POVCam,126,14,17,18,18,29,38,18,59,13,16,9,21,1,13,2,5,11,1,2
7884,PeoplePuppets,33,4,7,17,14,9,7,1,4,0,0,0,17,0,8,1,5,0,0,1
7885,PsychicNoseBleed,19,1,1,7,5,9,5,0,1,0,2,0,12,0,2,0,0,0,0,0
7886,PsychicNosebleed,27,1,1,10,6,14,7,0,3,0,4,0,15,0,3,0,0,0,0,0
7887,RemoteBody,5,0,0,5,2,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0
7888,RooftopConfrontation,47,3,17,25,15,5,16,11,17,1,3,0,13,0,7,0,7,0,0,0
7889,SafetyInMuggles,18,0,4,14,9,4,9,2,2,0,2,0,3,0,4,0,0,0,0,0
