Trope,Description,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,Background?,Setups?,Start Time,End Time,Total Time
Foe-Tossing Charge," Sauron during the prologue, to get to Isildur. He enters the battlefield and starts smacking a half dozen soldiers forty feet into the air with each swing of his mace.",,,,,,,,
Forced Perspective," Used to great effect to help the average-height actors playing hobbits and dwarves seem to-scale with their man and elf co-stars. Used in reverse in one shot: While climbing Caradhras, Frodo falls and drops the Ring. There is a shot of the Ring lying in the snow in the foreground. The filmmakers used a larger model of the Ring, 6 inches in diameter, in this shot to make it seem closer while still being in-focus.",,,,,,,,
Foreshadowing," In an Extended-Version-only scene, Frodo and Sam see a group of Wood-Elves on their way to the Grey Havens while they're leaving the Shire. The final film ends with Frodo going to the Grey Havens and leaving Middle-earth with the rest of the elves . As Gandalf tries to lead the Fellowship through the Pass of Caradhras, Boromir picks up the One Ring after Frodo stumbles down hill and ""drops"" it. Boromir returns it after some hesitation and obsessing over it. Later, Boromir tries to take the Ring forcefully, having gotten a taste of its influence before. Boromir narrowly avoids being hit by arrows in Moria. On a related note, Isildur is killed by three arrows - the same amount as Boromir. Aragorn realizes that they're being followed by Gollum, but says that he's ""too good a waterman"" to catch. In The Lord of the Rings: The Return of the King we see a flashback of Smeagol and Deagol pole-fishing from a boat, and Deagol proves to be a good swimmer. This bit in the Extended Edition also explicitly establishes that Gollum made out of Moria and is still on the Fellowship’s tail. This sets up Gollum continuing to follow Frodo and Sam once they split off from the Fellowship and finally making his move at the beginning of the next film (something was only implied in the Theatrical Edition).",,,,,,,,
The Lord of the Rings: The Return of the King," Gollum, but says that he's ""too good a waterman"" to catch. In The Lord of the Rings: The Return of the King we see a flashback of Smeagol and Deagol pole-fishing from a boat, and Deagol proves to be a good swimmer.",,,,,,,,
Forging Scene," The forging of the One Ring by Sauron is shown during the film's prologue. There's also the mass-production of the Uruk-hai's ugly but effective weapons and armor emphasizes the Industrialized Evil of Isengard. The reforging of Narsil into Andúril is much more dramatic, and features Arwen reciting parts of the poem that serves as Aragorn's Trust Password in the books.",,,,,,,,
Industrialized Evil,-production of the Uruk-hai's ugly but effective weapons and armor emphasizes the Industrialized Evil of Isengard.,,,,,,,,
Trust Password," Narsil into Andúril is much more dramatic, and features Arwen reciting parts of the poem that serves as Aragorn's Trust Password in the books.",,,,,,,,
Forgot to Mind Their Head," This was a hazard both in and out of universe: During the scene where Gandalf visits Bilbo in his hobbit hole, Gandalf, stooping, accidentally backs into a chandelier (as part of the script). His actor Ian McKellen then promptly turns and accidentally smacks his head on the roof, an (unscripted) accident so funny that they left it in . invoked In the gag reel, this happens also to the crew. Everyone's sitting inside the hobbit hole listening to directions, then when the meeting ends they all stand up and hit their heads on the roof. Then everyone falls to the floor.",,,,,,,,
Ian McKellen,"ne where Gandalf visits Bilbo in his hobbit hole, Gandalf, stooping, accidentally backs into a chandelier (as part of the script). His actor Ian McKellen then promptly turns and accidentally smacks his head on the roof, an (unscripted) accident so funny that they left it in . invoked",,,,,,,,
Freeze-Frame Bonus," Peter Jackson points out on the DVD Commentary that if you’re paying attention during the wide shots for Bilbo’s birthday party speech, you’ll realize that his birthday cake is melting. This was due to the polystyrene catching fire from the 111 candles (hence the smoke and glow on Ian Holm’s face). But because Holm was on a roll, they kept shooting and cropped out the cake in post-production.",,,,,,,,
Friends All Along," Aragorn is hurrying to find a herb to heal Frodo when someone sneaks up behind him and holds a blade to his throat. Said person turns out to be Arwen, teasing him.",,,,,,,,
Frying Pan of Doom, Sam uses his cooking gear to whack some goblins in Moria. Sam: I think I'm getting the hang of this.,,,,,,,,
Full-Contact Magic, Gandalf and Saruman's staff-fight in Saruman's chambers involves them striking the air with their staves and generating telekinetic waves against the opponent.,,,,,,,,
Ghostly Glide, The Nazgûl move like ghosts when they invade the Prancing Pony.,,,,,,,,
Giant Squid," The Watcher in the Water is decidedly squid-like, with bits of octopus thrown in for good measure. In the books the description is a bit more vague but still retains most of the Giant Squid properties.",,,,,,,,
Giant Wall of Watery Doom," When Arwen conjures up the Bruinen river against the Black Riders (invoking a Mass ""Oh, Crap!"" out of them, but they can't outrun it). For added awesomeness, the waves are horse-shaped.",,,,,,,,
Gloved Fist of Doom, Boromir does this at least once while contemplating the power of the One Ring.,,,,,,,,
God Save Us from the Queen!," ""In place of a Dark Lord you would have a QUEEN! Not dark but beautiful and terrible as the dawn! Treacherous as the sea ! Stronger than the foundations of the Earth! All shall love me, and despair !""",,,,,,,,
Go Through Me," During the scene on Weathertop, the Ringwraiths casually fling aside the other hobbits trying to protect Frodo.",,,,,,,,
Great Offscreen War," The movie begins with Galadriel recounting the story of the last war with Sauron, several thousand years prior. We only see the end of the final battle.",,,,,,,,
Grief Song, Elves sing a tearjerking lament for Gandalf.,,,,,,,,
Hammer Hilt," When Aragorn faces down the entire horde of Uruk-Hai, he starts off the fight by following his first sword swing by smashing the crossguard of his sword into one Uruk's face.",,,,,,,,
Ham-to-Ham Combat," There's the massive ham-off between those two old thesps, Christopher Lee and Ian McKellen as Saruman and Gandalf. ""You have chosen the way of pain!"" indeed. No piece of the scenery is left unchewed.",,,,,,,,
Happily Ever Before," The book ends with Boromir trying to steal the Ring, the departure of Frodo and Sam for Mordor and the capture of Merry and Pippin by the Uruk-hai. The film inverts it by including the first chapter of The Two Towers , which has the redemption and death of Boromir and the Three Hunters giving chase to the hobbits' captors, arguably ending on a more positive, hopeful note that comes afterwards .",,,,,,,,
Heroic Second Wind," Subverted. Boromir takes an arrow, goes down... gets back up and keeps fighting. Four times before he can no longer get up again, taking out at least two orcs each time.",,,,,,,,
Hoist by His Own Petard, The axe-wielding Uruk-hai takes his own axe in his back from Boromir.,,,,,,,,
Hollywood Drowning, Averted. Sam's near-drowning occurs without much flailing or noise. Frodo knows he's drowning because he knows Sam can't swim.,,,,,,,,
Homage Shot," Peter Jackson shot one bit at Bilbo's birthday party (""Proudfeet!"") as an exact copy of a shot in Ralph Bakshi 's animated Lord of the Rings . Jackson even helpfully points this out in the commentary. A circle-round shot of the four hobbits at Weathertop is also lifted from the original, although the camera moves much faster and Aragorn is absent. Same goes for the four hobbits hiding under a root by the wayside with the Nazgûl leaning in above them. Not exactly an homage shot, but the Nazgûl attacking the Hobbits' room at the Prancing Pony was drawn from Bakshi's film. In the books, it's explicitly stated by Aragorn that they would not have openly attacked the inn in this manner, and that their assailants were instead Men of Bree under their influence.",,,,,,,,
Peter Jackson,"hot one bit at Bilbo's birthday party (""Proudfeet!"") as an exact copy of a shot in Ralph Bakshi 's animated Lord of the Rings . Jackson even helpfully points this out in the commentary. A circle-round shot of the four hobbits at Weathertop is also lifted from the original, although the camera moves much faster and Aragorn is absent. Same goes for the four hobbits hiding under a root by the wayside with the Nazgûl leaning in above them.",,,,,,,,
Hope Spot," The film begins with one. During the battle between the Last Alliance of Elves and Man against Sauron's forces, the Alliance nearly succeeds in driving back the forces of Mordor... only for Sauron himself to join the battle and singlehandedly turn the tide back in his favor. But ironically, this also counts as a Hope Spot for Sauron too. Right as he's crushing the Alliance and on the cusp of total victory, Isildur severs the ring from his hand, separating him from his source of power and destroying his physical body. Gandalf gets one In-Universe when he uses the information he obtained in Minas Tirith to test the One Ring. The Ring doesn't react to fire and for a moment, Gandalf's quietly relieved he was wrong and this isn't the evil artifact he'd feared it was... and then Frodo spots the emerging Black Speech... Probably the cruelest one in film history is when Gandalf sends the Balrog off the bridge and begins turning back... only for the tips of its whip to catch Gandalf by the foot and leave him dangling off the side of the bridge.",,,,,,,,
Hope Spot,"gins with one. During the battle between the Last Alliance of Elves and Man against Sauron's forces, the Alliance nearly succeeds in driving back the forces of Mordor... only for Sauron himself to join the battle and singlehandedly turn the tide back in his favor. But ironically, this also counts as a Hope Spot for Sauron too. Right as he's crushing the Alliance and on the cusp of total victory, Isildur severs the ring from his hand, separating him from his source of power and destroying his physical body.",,,,,,,,
Horns of Villainy," The Balrog wasn't clearly described in the novels, but it's given large ram-like horns, giving it a beast-like appearance.",,,,,,,,
Horrifying the Horror," An army of goblins surround the Fellowship, only to immediately scurry off in fear after hearing the roar of the Balrog.",,,,,,,,
Hostile Weather," The snowstorm on Caradhras. The movie clearly shows that Saruman is behind it too, while in the book it's left vague.",,,,,,,,
How Much Did You Hear?," Gandalf catches Sam outside the Baggins home, demands to know how much Sam heard and then has Sam accompany Frodo on his journey. Gandalf: What did you hear?! Speak! Sam: N-nothing important! That is, I heard a good deal about a ring and a Dark Lord, and something about the end of the world...",,,,,,,,
Human Traffic Jam, Happens when the Hobbits are running away from Farmer Maggot; doubles as a Cliff Stack .,,,,,,,,
I Fight for the Strongest Side!," One of Saruman 's reasonings for betraying the Free Peoples and siding with Sauron is that at his core, he's always believed that the battle between good and evil can only be won through a matter of power (as noted by Gandalf in The Hobbit: An Unexpected Journey ) — and he's seen and learned enough about Sauron's power to believe that he can't be stopped and the only options available are to either join him or die.",,,,,,,,
Implausible Deniability," When Gandalf catches Sam eavesdropping at Bag End, the latter insists he was just simply cutting the grass, that’s all. That explanation might have worked…if it wasn’t currently the middle of the night. Gandalf naturally lampshades this.",,,,,,,,
Improbable Aiming Skills," In addition to Legolas, who, as an elf, naturally demonstrates absurd skill, there's the opening battle of Mount Doom, where human archers shoot down orcs on the mountainside a good quarter mile away (long range for a modern infantry rifle, much less a bow). Perhaps justified if one accepts that it's Galadriel's recounting of events she didn't actually see but was simply told of.",,,,,,,,
Inevitable Waterfall," This scene appears to pop up, but it's okay, they're just banking at The Gates of Argonath . When Frodo and Samwise paddle across the lake, there doesn't even seem to be a current moving toward the falls!",,,,,,,,
Instantly Proven Wrong," As the fellowship is travelling through forbidden Elven woods, Gimli declares that he won't be caught easily, because he has ""the eyes of a hawk and the ears of a fox."" A split second later, he sees elves pointing drawn bows at him less than half a meter away, and Haldir claims that he was breathing so loudly that they could have shot him in the dark. Gimli: Here's one dwarf they won't ensnare so easily! I've got the eyes of a hawk and the ears of a fox. [cue elvish arrows drawn at Gimli's head at point-blank range]",,,,,,,,
Inverse Dialogue/Death Rule," Boromir takes forever to be killed (arrow after arrow, and overcranked as well), complete with a speech to Aragorn after the latter just had a big duel with the chief Uruk-Hai.",,,,,,,,
Ironic Echo," Gandalf finds a record of Isildur's journal, accounting the finding of the One Ring. Isildur: I will risk no harm to the Ring. It is precious to me. Averted in some dubs where they change Gollum's my precious but miss this echo .",,,,,,,,
miss this echo,dubs where they change Gollum's my precious but miss this echo .,,,,,,,,
It Has Been an Honour," Boromir's last words to Aragorn. Boromir: I would have followed you, my brother... my captain... my king .",,,,,,,,
It May Help You on Your Quest," Galadriel's gifts. All of them. Even moreso in the book, where she gives Sam a box of dirt with a mallorn nut in it. It helps.",,,,,,,,
It Was a Gift," Mostly skips over Galadriel's gift giving, only mentioning her gift to Frodo. But in a deleted scene Gimli talks about his gift — Galadriel wasn't sure what to give him, so he asked for a single strand of hair from her head, and she gave him three. Legolas's surprised smile, and Gimli's satisfied tone, make this a rather heartwarming scene — especially if the viewer is familiar with the origin of the Silmarils . Invoked when Aragorn — prior to setting out with the Fellowship — attempts to return the Evenstar pendant which Arwen had given him as a sign of her intention to choose a mortal life with him. She's hurt by the action and tells him, "" It was a gift. Keep it.""",,,,,,,,
the origin of the Silmarils," gift giving, only mentioning her gift to Frodo. But in a deleted scene Gimli talks about his gift — Galadriel wasn't sure what to give him, so he asked for a single strand of hair from her head, and she gave him three. Legolas's surprised smile, and Gimli's satisfied tone, make this a rather heartwarming scene — especially if the viewer is familiar with the origin of the Silmarils .",,,,,,,,
It was a gift.,"gorn — prior to setting out with the Fellowship — attempts to return the Evenstar pendant which Arwen had given him as a sign of her intention to choose a mortal life with him. She's hurt by the action and tells him, "" It was a gift. Keep it.""",,,,,,,,
I Want Them Alive!," When Saruman sends the Uruk-Hai out to battle, he tells the leader that ""one of the halflings [hobbits] carries something of great importance"" so he wants them alive ""and unspoiled"" (meaning, don't even search them for valuables). Luckily for Merry and Pippin, the Uruk leader doesn't know he has the wrong hobbits.",,,,,,,,
Jump Scare," Gandalf knows something's wrong with the Ring that he had to pressure Bilbo into finally discarding, but he isn't entirely sure just what it's capable of as he reaches for it. The instant his fingers grace its metal, a hellish eye of fire appears with a screaming sound and a boom more akin to primordial thunder not even a quarter of a second. It's no wonder the next scene cuts to him watching the nearby fireplace in a stupor to separate his mind from the horror he witnessed and not even realizing Frodo has entered for half a minute.",,,,,,,,
Keystone Army," In the Action Prologue , when Isildur desperately slices off the fingers of Sauron's ring-hand, all of Sauron's troops fall dead in an instant.",,,,,,,,
Kill It with Fire," Strider uses this method to drive off the Nazgûl at Weathertop, with a Throwing Your Torch Always Works finisher.",,,,,,,,
Kill the Lights," When Gandalf intimidates Bilbo to convince him to leave the Ring behind, the room darkens and his voice gains a menacing reverberation. He also seems to grow, though he may simply be standing up from a slouch. Gandalf: Bilbo Baggins, do not take me for some conjurer of cheap tricks! A similar effect happens during the Council of Elrond when Gandalf breaks up the squabble by reciting the ring couplet in Black Speech , though as this scene is outside, the darkening is less noticeable.",,,,,,,,
Black Speech,"ct happens during the Council of Elrond when Gandalf breaks up the squabble by reciting the ring couplet in Black Speech , though as this scene is outside, the darkening is less noticeable.",,,,,,,,
Killed Offscreen," The Hobbit who has a run-in with the Ringwraiths on the road. We see the lead wraith swing his sword, and the Hobbit's surprised face, but then it cuts back to Frodo and Gandalf talking in a Discretion Shot .",,,,,,,,
Kubrick Stare," Foreshadowed when Isildur (in flashback) gave Elrond exactly the same stare, in exactly the same circumstances. One of the powers of the One Ring is to cause Kubrick Stares.",,,,,,,,
Lancer vs. Dragon," Though Aragorn isn't the main hero and Lurtz isn't the main villain, their intense fight is the climax of the film.",,,,,,,,
Last Breath Bullet," Just when the Gandalf and the Fellowship believe that the Balrog is falling to its doom, it goes and pulls a Last Breath Whip and drags Gandalf along with it.",,,,,,,,
Last Day of Normalcy," Bilbo's birthday party introduces us to all the characters of Hobbiton prior to their being thrust into their adventure, from gentle and thoughtful Frodo to loyal and simple Samwise, to the mischievous pair of Merry and Pippin (their role changed somewhat from the books, where they were more savvy to Bilbo's magic ring). This is a downplayed example, though, as while it does serve the purpose of showing the tranquility of Hobbiton, it isn't until Gandalf returns with confirmation of the nature of Bilbo's ring that Frodo is thrust out the door on an adventure.",,,,,,,,
Last Kiss, Aragorn gave a dying Boromir a kiss on the forehead as part of a blessing.,,,,,,,,
Legend Fades to Myth," According to Galadriel's prologue, this is why things came to be as they were at the end of the Third Age: people forgot about past threats, and grew complacent. Sauron exploited that.",,,,,,,,
Let Us Never Speak of This Again," Subverted. After Gandalf says that Sauron must never find the Ring, Frodo says they'll put it away and never speak of it again... except that Sauron has already found Gollum, who also knew that Bilbo had the Ring, knows of the Shire, and has sent the Nazgûl to claim it.",,,,,,,,
Light Is Good, Arwen appears to Frodo in a flowing white gown with light radiating out from her. This is just a vision to Frodo but it symbolizes that she is good and is there to help him. Though she does warn him that she could end up evil and remain like she is .,,,,,,,,
Literal Cliffhanger, Gandalf clings to the broken edge of the Bridge of Khazad-Dûm before falling to his temporary death.,,,,,,,,
Literal Disarming," Aragorn does this to Lurtz, followed by stabbing him through the chest and finally decapitating him . Lurtz didn't die until that last one.",,,,,,,,
"Little ""No"""," Isildur gave one to Elrond during the Siege of Barad-dûr following his defeat of Sauron after Elrond demands that he destroy the Ring. In the present-day, Elrond tells Gandalf that it was this moment that caused him to lose his faith in Men.",,,,,,,,
Locked Out of the Loop," In contrast to the book (and despite Gandalf’s urgings), Frodo is not made privy to Bilbo's plans for his disappearing act during his 111st Birthday, or that he’s leaving the Shire. Downplayed with Gimli and Frodo's Mithril Coat (and one that was there in the original release, but which has since been retroactively confirmed by The Hobbit Film Trilogy ). Despite being the son of one of the members of the late Thorin Oakenshield’s Company, Gimli doesn’t know that Bilbo was gifted the Mithril Coat for his services during the Quest of Erebor; he only finds out when Gandalf mentions it during their trek through Moria. Either Glóin didn't know (which, given Bilbo was wearing it around Erebor, seems unlikely), or Glóin simply didn’t tell his son. Either way, the revelation's quite a surprise for Gimli. Related to the above example, nobody in the Fellowship is initially aware that Frodo brought Bilbo's Mithril Coat (let alone that he's wearing it); they don't find out until the clash in the Chamber of Mazarbul. That said, it’s hinted Gandalf suspects when he's discussing Mithril earlier (and notice he's also not that surprised when Frodo ""miraculously"" survives the cave troll’s spear thrust). Even before they hit Moria, it surely didn't escape Gandalf's notice that Bilbo bequeathed the Ring and Sting to his nephew, yet the third and final tool the old Hobbit had acquired during the Quest of Erebor was conspicuously absent.",,,,,,,,
The Hobbit Film Trilogy," Frodo's Mithril Coat (and one that was there in the original release, but which has since been retroactively confirmed by The Hobbit Film Trilogy ). Despite being the son of one of the members of the late Thorin Oakenshield’s Company, Gimli doesn’t know that Bilbo was gifted the Mithril Coat for his services during the Quest of Erebor; he only finds out when Gandalf mentions it during their trek through Moria. Either Glóin didn't know (which, given Bilbo was wearing it around Erebor, seems unlikely), or Glóin simply didn’t tell his son. Either way, the revelation's quite a surprise for Gimli.",,,,,,,,
Lodged-Blade Recycling," Aragorn impales the cave troll with a spear; the troll pulls it out and uses it to eventually stab Frodo, who only survives because of his mithril shirt. Lurtz pulls Aragorn's knife out and throws it back at him — but only after licking it .",,,,,,,,
licking it,Aragorn's knife out and throws it back at him — but only after licking it .,,,,,,,,
Manly Tears," Boromir 's Final Speech : Boromir : I would have gone with you to the end, my brother... my captain... my king. Galadriel's intense gaze reduces Boromir to tears, most likely because he knows that she knows that he will eventually betray the Fellowship.",,,,,,,,
Final Speech,"al Speech : Boromir : I would have gone with you to the end, my brother... my captain... my king.",,,,,,,,
Made of Incendium," The Ringwraiths will burst into flames if they come in contact with a fire source. Aragorn uses this to an incredibly effective degree when he lights up half of them and hurls the torch so hard that it embeds into one's face. Doesn't really seem to deter them for long, though.",,,,,,,,
Major Injury Underreaction," Boromir merely grunts, drops to his knees, then gets right back up and keeps fighting after being shot with an arrow. It's not until the third that he stays down, and even then he's more concerned about failing the Fellowship than the fact that he has three arrows sticking out of his chest. Bear in mind that the shafts of these arrows were themselves a full inch in diameter.",,,,,,,,
Man Hug," Frodo and Sam share a big, tearful hug after Sam risks drowning to accompany Frodo to Mordor.",,,,,,,,
Meaningful Background Event, You see the giant eagle behind Saruman right before Gandalf jumps from the tower of Orthanc.,,,,,,,,
Meaningful Echo," The tune from ""Concerning Hobbits"" (the piece that plays as the Shire is introduced) appears at the end of the movie in "" The Breaking of the Fellowship "".",,,,,,,,
Million Mook March," The army of the Last Alliance, as a flashback.",,,,,,,,
Miracle Food, Elven lembas bread (which got more emphasis in the original book) is featured in a scene from the Extended Edition DVD. Legolas explains to the hobbits Merry and Pippin that a single bite of lembas can fill a grown man's stomach for a day. As soon as Legolas leaves: Merry: How many did you eat? Pippin: Four. [groans],,,,,,,,
Mordor," The fearsome trope namer is described by Boromir with the following words: ""One does not simply walk into Mordor. Its black gates are guarded by more than just orcs. There is evil there that does not sleep, and the Great Eye is ever watchful. It is a barren wasteland, riddled with fire, ash, and dust. The very air you breathe is a poisonous fume. Not with ten thousand men could you do this. It is folly.""",,,,,,,,
Murder Water," The flash flood that Arwen summons to wash away the Nazgûl pursuing Frodo and the Ring is represented by a herd of watery horses charing down the river and sweeping the Nazgûl away, in a rare heroic version of this trope.",,,,,,,,
My New Gift Is Lame," Each member in the Fellowship receives cool personal gifts from Galadriel, including a magical lantern for Frodo, some daggers for Pippin and Merry, and a coveted lock of golden hair for Gimli. Sam, however, gets some rope. Visibly underwhelmed, he even has the balls to ask if he might have a ""shiny dagger"" as well, but Galadriel just smirks at his impudence and doesn't bother to reply. Of course, the rope magically unties itself when necessary, and comes in very useful . In the book, Sam is given a rare seed and fertile soil from Lothlórien due to his trade as a gardener. The rope is just part of the general equipment.",,,,,,,,
Mythology Gag, The scene angle when the Nazgûl are looking for the Hobbits hiding in a root is directly taken from the Ralph Bakshi animated version .,,,,,,,,
Myth Prologue," The film opens with the story of how the rings of power were forged (effectively introducing the races of Middle Earth in the process), how Sauron used the One Ring of Power to take over Middle Earth, how Isildur failed to destroy the ring once Sauron was defeated, and how millennia would pass before it was fished out of the water once again. Galadriel, narrating, mourns that there are so few still alive who were there to witness it. This is a deviation from the book, which opened on Bilbo's birthday in the Shire, and makes the mythic scope of the film more immediately obvious to audiences.",,,,,,,,
"""Nations of the World"" Montage", The shots of all of the free peoples of Middle-earth showing up for the Council of Elrond.,,,,,,,,
Natural Spotlight," A few scenes, like Balin's tomb which was described like this even in the original novel, explained by ingenious light channels carved by the dwarves in the mountainside. On the other hand, the one lighting Gollum's cave in the prologue comes off as highly improbable, considering its depth and the fact that Gollum can't stand daylight.",,,,,,,,
Never Found the Body," Gandalf's fall. He actually dies though, but not because of the fall, and, as he is a Maia (angelic spirit), he is brought Back from the Dead by his employers anyway.",,,,,,,,
Nightmare Face, When Bilbo wants to take a look at the One Ring. Holy crap !,,,,,,,,
"Nice Job Breaking It, Hero!"," Bilbo sharing his name and place of origin with Gollum during the Riddle Game back in The Hobbit: An Unexpected Journey (and while it was there in 2001, it was more of an implication; it's clearer now with the Middle-earth films completed). This comment, given without thought and in passing 60 years earlier, finally comes back to bite the Baggins Family with a vengeance. Gollum is located and captured by Sauron's forces (and before Gandalf can get to him first) and tortured into divulging what he knows. This gives the Nazgûl their first real lead on the One Ring's whereabouts since Sauron's original downfall. And since Bilbo has left the Shire at this point, Frodo's left holding the bag (and the Ring) and forced to go on the run. Pippin's curiosity leading him to mess with a skeleton by a well in Moria, leading to the whole thing, chains and bucket and all, toppling in. Not only does this lead to them being attacked by a horde of goblins, it awakens the Balrog, and ultimately results in Gandalf's death.",,,,,,,,
The Hobbit: An Unexpected Journey," origin with Gollum during the Riddle Game back in The Hobbit: An Unexpected Journey (and while it was there in 2001, it was more of an implication; it's clearer now with the Middle-earth films completed). This comment, given without thought and in passing 60 years earlier, finally comes back to bite the Baggins Family with a vengeance. Gollum is located and captured by Sauron's forces (and before Gandalf can get to him first) and tortured into divulging what he knows. This gives the Nazgûl their first real lead on the One Ring's whereabouts since Sauron's original downfall. And since Bilbo has left the Shire at this point, Frodo's left holding the bag (and the Ring) and forced to go on the run.",,,,,,,,
No Escape but Down, When the hobbits are chased by a farmer and his dogs.,,,,,,,,
Noisy Nature," Judging by their extremely cacophonic cries, Saruman's scary flock of avian spies are evidently Starlings (yes, they've invaded New Zealand too).",,,,,,,,
Noodle Incident," The ""incident with the dragon"" is this to anyone who hasn't read the books.",,,,,,,,
Not-So-Omniscient Council of Bickering," The Council of Elrond dissolves into a lot of vicious arguing, causing Frodo to make his heroic choice.",,,,,,,,
O.O.C. Is Serious Business, A plot point. Bilbo’s uncharacteristic outburst and behavior when he leaves Bag End and initially refuses to relinquish the Ring alarms Gandalf. It’s what finally brings Gandalf's longstanding concerns to a head (along with his brief contact with Sauron’s presence) and prompts his fact-finding mission to Minas Tirith’s archives.,,,,,,,,
Offscreen Teleportation," Gandalf manages to move from Bilbo's party to Bag End before Bilbo himself gets there, even though he is seen sitting in the audience while Bilbo is running home, made invisible by the Ring. All without crossing paths with him, either. He is a wizard, but not even the most powerful beings in Middle-earth can manage actual teleportation.",,,,,,,,
Off with His Head!," One of the Ringwraiths cuts a hapless Hobbit's head off when they're riding into the Shire, although it happens offscreen . Aragorn decapitates an Orc in Moria, with a big spurt of Black Blood right before the Cave Troll shows up. Aragorn finishes Lurtz off by cutting off his head.",,,,,,,,
happens,"e Ringwraiths cuts a hapless Hobbit's head off when they're riding into the Shire, although it happens offscreen .",,,,,,,,
Black Blood,"itates an Orc in Moria, with a big spurt of Black Blood right before the Cave Troll shows up.",,,,,,,,
"Oh, Crap!"," The film features many examples. A great one in the prologue battle when Sauron makes his appearance on the battlefield. These mighty Dúnedain have just mopped the floor with the Orcs and are about to declare their victory... then all of a sudden a black-armoured giant with a very big mace strides into their midst... Frodo in the first film, when he realizes that the two words Sauron's forces got from Gollum (Shire and Baggins) means that they know where the One Ring is and are coming to take it. Gandalf when Saruman informs him that now in knowledge of the One Ring's location, Sauron has dispatched some of his most lethal agents to get it back. Saruman: Sauron's forces are already moving. The Nine have left Minas Morgul. Gandalf: [horrified] The Nine ?! Also Gandalf's reaction when Saruman reveals he is in league with Sauron and bars the former's escape from Orthanc. During the Skirmish at Weathertop, Frodo hears Sauron's voice emanating from the Ring and is tempted to pull it out of his pocket. He immediately panics as he realizes he just confirmed to Sauron's forces that he has the Ring on him. note Remember, at that point the Nazgûl had no idea which of the four halflings they were pursuing out of Bree bore the name ""Baggins"" and whether they had taken the Ring with them or hidden it somewhere. When Arwen summons a tidal wave to beat the Nazgûl. Granted, they don't have faces, but their behaviour is enough to convey it. In Moria: Gandalf's reaction to hear Goblin drums beating, as the denizens of Moria have realised there are intruders in their home. Boromir's deadpan "" They have a cave troll ."" Spoken in an almost Graham Chapman voice. Legolas gets a pretty good Oh Crap look when he realizes there's a Balrog down there. The Moria Goblins are also similarly terrified. Elrond has an Oh Crap reaction to the fact that Saruman is breeding an Orc army of his own. An army that can move in sunlight. Aragorn and Legolas are busy fighting the Uruk-Hai on Amon Hen, when suddenly they hear the Horn of Gondor being blown frantically. ""Boromir!!!""",,,,,,,,
The Nine,"en Saruman informs him that now in knowledge of the One Ring's location, Sauron has dispatched some of his most lethal agents to get it back. Saruman: Sauron's forces are already moving. The Nine have left Minas Morgul. Gandalf: [horrified] The Nine ?!",,,,,,,,
They have a cave troll,"tion to hear Goblin drums beating, as the denizens of Moria have realised there are intruders in their home. Boromir's deadpan "" They have a cave troll ."" Spoken in an almost Graham Chapman voice. Legolas gets a pretty good Oh Crap look when he realizes there's a Balrog down there. The Moria Goblins are also similarly terrified.",,,,,,,,
They have a cave troll," have a cave troll ."" Spoken in an almost Graham Chapman voice.",,,,,,,,
An army that can move in sunlight.,e fact that Saruman is breeding an Orc army of his own. An army that can move in sunlight.,,,,,,,,
Onrushing Army, The prologue of the film features mindlessly rushing Orcs against more disciplined Elves.,,,,,,,,
Opening Monologue," Galadriel's now iconic opening monologue of the film, describing the forging of the Rings Of Power , the Battle of the Last Alliance, Sauron's downfall and the One Ring being lost and forgotten, basically laying the groundwork for the beginning of the main story. The page quote at the top is just part of it. She speaks some Elvish (Sindarin) at the beginning of the monologue. ""( I amar prestar aen. ) The world is changed. ( Han matho ne nen. ) I feel it in the water. ( Han mathon ned cae. ) I feel it in the earth. ( A han noston ned gwilith. ) I smell it in the air. Much that once was is lost, for none now live who remember it.""",,,,,,,,
Open Sesame," When the Fellowship tries to enter Moria through the enchanted gate that's inscribed ""Speak friend and enter"". Which actually TELLS you what to say.",,,,,,,,
Parrying Bullets," Aragorn performs an era-appropriate variation when he uses his sword to swat aside a knife flying towards his head. Impressively, there's no CGI involved in the stunt; Viggo Mortensen actually parried a knife accidentally thrown at his face by the other actor.",,,,,,,,
Patrick Stewart Speech," Boromir's speech to Aragorn, shortly before the Breaking of the Fellowship. Though not a straight subversion of this trope, the story demonstrates a few scenes later that the reality of human nature is uglier than Boromir's speech makes it out to be .",,,,,,,,
Phosphor-Essence, Galadriel glows with a bluish-white light when she explains how powerful and terrible she would become were she to accept the Ring.,,,,,,,,
Plummet Perspective, A torch is dropped by Boromir on the way to the Bridge of Khazad-dûm; he barely saves himself from following it.,,,,,,,,
